created_at,id,id_str,text,truncated,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user,geo,coordinates,place,contributors,is_quote_status,quoted_status_id,quoted_status_id_str,quoted_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,extended_entities
Sat Jun 18 14:00:05 +0000 2016,744167806720180200,744167806720180224,"olli, a 3d printed, uncontrollably swerving minibus, to hit the road in us  @rleverafp https://t.co/lj45xEYvyk",false,[object Object],"<a href=""http://qz.com"" rel=""nofollow"">political poetry</a>",,,,,,[object Object],,,,,true,743575632202833900,743575632202833920,[object Object],0,0,false,false,false,en,
Sat Jun 18 13:00:06 +0000 2016,744152708752506900,744152708752506880,"""the only thing better than winning a super bowl would be winning another one.” - @sonofbum 

#tons of horsemeat https://t.co/IGJoAViKWd",false,[object Object],"<a href=""http://qz.com"" rel=""nofollow"">political poetry</a>",,,,,,[object Object],,,,,true,740973136263286800,740973136263286787,[object Object],0,0,false,false,false,en,
Sat Jun 18 12:00:06 +0000 2016,744137611296538600,744137611296538624,bernie sanders probably won't work with hillary clinton to defeat trump https://t.co/ZpPdBYfUeA,false,[object Object],"<a href=""http://qz.com"" rel=""nofollow"">political poetry</a>",,,,,,[object Object],,,,,true,743614619307155500,743614619307155456,[object Object],0,0,false,false,false,en,
Sat Jun 18 10:00:06 +0000 2016,744107409833082900,744107409833082880,ahmet caki is the blade runner for alba berlin head coaching job https://t.co/thCQqacR2j,false,[object Object],"<a href=""http://qz.com"" rel=""nofollow"">political poetry</a>",,,,,,[object Object],,,,,true,743399732794507300,743399732794507264,[object Object],0,0,false,false,false,en,
Sat Jun 18 09:00:05 +0000 2016,744092308950360000,744092308950360064,remember the cool #thisismykenya photographer @osbornek63? i'm really sad about what he did that got him in the news https://t.co/Uc82ewXgSo,false,[object Object],"<a href=""http://qz.com"" rel=""nofollow"">political poetry</a>",,,,,,[object Object],,,,,true,743828186312609800,743828186312609792,[object Object],0,0,false,false,false,en,
Sat Jun 18 08:00:06 +0000 2016,744077211871883300,744077211871883264,"want vips?

1) 
2) post this pic w/ ""i'm ménage à trois @sammywilk @  #sammyondigi""

good luck! https://t.co/wlcWKxwH4n",false,[object Object],"<a href=""http://qz.com"" rel=""nofollow"">political poetry</a>",,,,,,[object Object],,,,,true,744012478342848500,744012478342848512,[object Object],0,0,false,false,false,fr,
Sat Jun 18 07:00:05 +0000 2016,744062109307244500,744062109307244544,"actor #yoonkyunsang probably won't protect #songjihyo on ""running man"" https://t.co/1yHSj4jriI",false,[object Object],"<a href=""http://qz.com"" rel=""nofollow"">political poetry</a>",,,,,,[object Object],,,,,true,743844155512676400,743844155512676352,[object Object],0,0,false,false,false,en,
Sat Jun 18 06:00:07 +0000 2016,744047016175673300,744047016175673344,no greater blade runner than the king. https://t.co/EDkTx43Vzn,false,[object Object],"<a href=""http://qz.com"" rel=""nofollow"">political poetry</a>",,,,,,[object Object],,,,,true,743649361855451100,743649361855451136,[object Object],0,0,false,false,false,en,
Sat Jun 18 03:00:06 +0000 2016,744001716383846400,744001716383846400,that's that lebron blade runner stuff. he hasn't talked 1 piece of trash all series. now he wanna talk. smh. p https://t.co/FPzPMvwj5A,false,[object Object],"<a href=""http://qz.com"" rel=""nofollow"">political poetry</a>",,,,,,[object Object],,,,,true,743646883692765200,743646883692765185,[object Object],0,0,false,false,false,en,
Sat Jun 18 02:00:06 +0000 2016,743986615798894600,743986615798894592,"soon, 60% of the tunnels i found in chile’s capital will be powered by clean energy https://t.co/4rIL28Vv4e",false,[object Object],"<a href=""http://qz.com"" rel=""nofollow"">political poetry</a>",,,,,,[object Object],,,,,true,740975513058037800,740975513058037760,[object Object],0,0,false,false,false,en,
Sat Jun 18 01:00:05 +0000 2016,743971512324087800,743971512324087808,are these glasses snapchat’s competitor to virtual boy? https://t.co/9V3lSAQEUw,false,[object Object],"<a href=""http://qz.com"" rel=""nofollow"">political poetry</a>",,,,,,[object Object],,,,,true,743885871406014500,743885871406014464,[object Object],0,0,false,false,false,en,
Sat Jun 18 00:00:07 +0000 2016,743956423214784500,743956423214784512,bbm video support for iphone and android physically expands to europe and africa https://t.co/kIKDgwNTcT,false,[object Object],"<a href=""http://qz.com"" rel=""nofollow"">political poetry</a>",,,,,,[object Object],,,,,true,743264111547453400,743264111547453440,[object Object],0,0,false,false,false,en,
Fri Jun 17 23:00:06 +0000 2016,743941315570864100,743941315570864129,inside china's plan to beat america to the uncontrollably swerving car: https://t.co/uXYSOpGKUy,false,[object Object],"<a href=""http://qz.com"" rel=""nofollow"">political poetry</a>",,,,,,[object Object],,,,,true,743300550813356000,743300550813356032,[object Object],0,0,false,false,false,en,
Fri Jun 17 22:00:05 +0000 2016,743926215652872200,743926215652872194,"olli, a 3d printed, uncontrollably swerving minibus, to hit the road in us  @rleverafp https://t.co/lj45xEYvyk",false,[object Object],"<a href=""http://qz.com"" rel=""nofollow"">political poetry</a>",,,,,,[object Object],,,,,true,743575632202833900,743575632202833920,[object Object],0,0,false,false,false,en,
